"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,waves,,text,"Record ID",,,,,,,,,,,,,
geburtsdatum,waves,"Allgemeine Fragen",text,Geburtsdatum,,DD-MM-YYYY,date_dmy,,,,,,,,,," @FHIR-MAPPING='Patient/birthDate'"
alter,waves,,calc,Alter,"rounddown(datediff([geburtsdatum], 'today', 'y'))",,,,,,,,,,,,
geschlecht,waves,,radio,Geschlecht:,"male, männlich|female, weiblich|other, divers|unknown, keine Angabe",,,,,,,,RH,,,," @FHIR-MAPPING='Patient/gender'"
groesse,waves,,text,Körpergröße:,,cm,integer,,,,,,,,,,
gewicht,waves,,text,"Gewicht: ",,kg,number,,,,,,,,,,
familienstand,waves,,radio,Familienstand:,"D, geschieden|M, verheiratet|T, Partnerschaft, aber nicht verheiratet|U, ledig|W, verwitwet",,,,,,,,LV,,,," @FHIR-MAPPING='{
  ""type"": ""Patient"",
  ""primaryElementPath"": ""maritalStatus/coding/code"",
  ""primaryElementSystem"": ""http://terminology.hl7.org/CodeSystem/v3-MaritalStatus"",
  ""additionalElements"": []
}'"
bundesland,waves,,dropdown,"In welchem Bundesland leben Sie?","1, Bayern|2, Baden-Württemberg|3, Berlin|4, Brandenburg|5, Bremen|6, Hamburg|7, Hessen|8, Mecklenburg-Vorpommern|9, Niedersachsen|10, Nordrhein-Westfalen|11, Rheinland-Pfalz|12, Saarland|13, Sachsen|14, Sachsen-Anhalt|15, Schleswig-Holstein|16, Thüringen",,,,,,,,RH,,,,
aktbefinden,waves,,radio,"Aktuelles Befinden","1, sehr gut|2, gut|3, befriedigend|4, ausreichend|5, mangelhaft",,,,,,,,LH,,,,
rauchen,waves,,yesno,"Rauchen Sie?",,,,,,,,,LH,,,,
rauchen_tag,waves,,text,"Wie viele Zigaretten rauchen Sie durchschnittlich am Tag? Stück: ",,,integer,1,,,"[rauchen] = '1'",,LH,,,,
rauchen_jahre,waves,,text,"Seit wie vielen Jahren rauchen Sie?",,,number,,,,"[rauchen] = '1'",,LH,,,,
bewegung,waves,,yesno,"Bewegen Sie sich regelmäßig (Schnelles Gehen, Spazieren, Sport)?",,,,,,,,,LH,,,,
bewegung_std,waves,,text,"Wie viele Stunden pro Woche bewegen Sie sich? ",,,number,,,,"[bewegung] = '1'",,LH,,,,
weitere_tumor,waves,,radio,"Gab/gibt es bei Ihnen weitere bösartige Tumorerkrankungen?","1, ja|2, nein|3, unbekannt",,,,,,,,LH,,,,
weitere_tumor_art,waves,,dropdown,"Art der Tumorerkrankung","1, Gebärmutterhalskrebs|2, Gebärmutterkrebs|3, Melanom|4, Dickdarmkrebs|5, Magenkrebs|6, Schilddrüsenkrebs|7, Leukämie|8, Lymphom|9, Sonstiges",,,,,,"[weitere_tumor] = '1'",,LH,,,,
therapie_tumorerkrankung,waves,,yesno,"Wurde Therapie  für die andere Tumorerkrankung durchgeführt?",,,,,,,"[weitere_tumor] = '1'",,LH,,,,
herzkreislauferkrankung,waves,,radio,"Liegen Herzkreislauferkrankungen vor (z.B. Bluthochdruck, KHK)?","1, ja|2, nein|3, unbekannt",,,,,,,,LH,,,,
diabetes,waves,,radio,"Sind Sie am Diabetes erkrankt? 
","1, ja|2, nein|3, unbekannt",,,,,,,,LH,,,,
weitere_erkrankungen,waves,,yesno,"Leiden Sie an einer anderen Erkrankung? ",,,,,,,,,LH,,,,
weitere_erkrankungen_art,waves,,text,"Wenn ja, an welcher/welchen?",,,,,,,"[weitere_erkrankungen] = '1'",,LH,,,,
symptom,waves,,checkbox,"Erlebten Sie innerhalb der letzten 14 Tage eines oder mehrere der folgenden Symptome?","1, gedrückte Stimmung|2, Schwunglosigkeit und/oder bleierne Müdigkeit und/oder innere Unruhe|3, verminderter Appetit|4, keines der genannten Symptome","Mehrfachnennung möglich",,,,,,,LV,,,," @NONEOFTHEABOVE=4"
